Id,Prediction,Date,File,StartTime,ElapsedTime,BusyTime,Commands,editOrInsertPercentage,debugPercentage,navigationPercentage,focusPercentage,removePercentage,editPercentage,COMMAND_RATE,NAVIGATION_RATE,DEBUG_RATE,FOCUS_RATE,EDIT_RATE,REMOVE_RATE,INSERT_RATE,webLinkTimes,Web Page Visits
1,,Thu Oct 29 19:35:13 PDT 2020,SocialDistance.lisp,1604025313666,26641,0,(I)11(F)2(I)7(F)1(I)4,0.88,0.0,0.0,12.0,0.0,0.0,0.9615384615384616,0.0,0.0,0.11538461538461539,0.0,0.0,0.8461538461538461,0.0,[]
,/modelData/A0UserStudy2010.arff,Thu Oct 29 19:35:13 PDT 2020,SocialDistance.lisp, 1604025313666
2,,Thu Oct 29 19:35:40 PDT 2020,SocialDistance.lisp,1604025340419,17822,0,(I)5(R)3(I)5(R)1(I)1(R)1(I)2(F)1(I)4(R)2,0.68,0.0,0.0,4.0,0.0,0.0,1.4705882352941178,0.0,0.0,0.058823529411764705,0.0,0.4117647058823529,1.0,0.0,[]
3,,Thu Oct 29 19:35:58 PDT 2020,SocialDistance.lisp,1604025358409,21282,0,(R)1(I)5(R)1(I)1(R)1(I)2(R)1(I)2(R)3(I)3,0.65,0.0,0.0,0.0,0.0,0.0,0.9523809523809523,0.0,0.0,0.0,0.0,0.3333333333333333,0.6190476190476191,0.0,[]
4,,Thu Oct 29 19:36:19 PDT 2020,SocialDistance.lisp,1604025379851,6758,6758,(I)5(F)1(R)1(I)2(R)3(I)11,0.782608695652174,0.0,0.0,4.3478260869565215,0.0,0.0,3.8333333333333335,0.0,0.0,0.16666666666666666,0.0,0.6666666666666666,3.0,0.0,[]
5,,Thu Oct 29 19:36:27 PDT 2020,SocialDistance.lisp,1604025387953,5473,5473,(I)2(F)1(I)22,0.96,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,0.2,0.0,0.0,4.8,0.0,[]
6,,Thu Oct 29 19:36:33 PDT 2020,SocialDistance.lisp,1604025393909,7338,7338,(I)3(R)2(I)17(R)2(I)1,0.84,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.5714285714285714,3.0,0.0,[]
7,,Thu Oct 29 19:36:41 PDT 2020,SocialDistance.lisp,1604025401522,3735,3735,(I)19(R)2(I)3,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.6666666666666666,7.333333333333333,0.0,[]
8,,Thu Oct 29 19:36:45 PDT 2020,SocialDistance.lisp,1604025405632,12473,0,(I)8(R)2(I)1(R)2(I)1(R)2(I)9,0.76,0.0,0.0,0.0,0.0,0.0,2.0833333333333335,0.0,0.0,0.0,0.0,0.5,1.5833333333333333,0.0,[]
9,,Thu Oct 29 19:36:58 PDT 2020,SocialDistance.lisp,1604025418289,23671,0,(I)24(R)1,0.96,0.0,0.0,0.0,0.0,0.0,1.0869565217391304,0.0,0.0,0.0,0.0,0.043478260869565216,1.0434782608695652,0.0,[]
10,,Thu Oct 29 19:37:22 PDT 2020,SocialDistance.lisp,1604025442230,7600,7600,(I)12(R)1(I)12,0.96,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.14285714285714285,3.4285714285714284,0.0,[]
11,,Thu Oct 29 19:37:29 PDT 2020,SocialDistance.lisp,1604025449908,2716,2716,(I)22(F)1(I)1,0.9583333333333334,0.0,0.0,4.166666666666666,0.0,0.0,12.0,0.0,0.0,0.5,0.0,0.0,11.5,0.0,[]
12,,Thu Oct 29 19:37:34 PDT 2020,SocialDistance.lisp,1604025454463,44502,0,(I)7(F)1(I)17,0.96,0.0,0.0,4.0,0.0,0.0,0.5681818181818182,0.0,0.0,0.022727272727272728,0.0,0.0,0.5454545454545454,0.0,[]
13,,Thu Oct 29 19:38:19 PDT 2020,SocialDistance.lisp,1604025499189,1946,1946,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
14,,Thu Oct 29 19:38:21 PDT 2020,SocialDistance.lisp,1604025501138,5419,5419,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
15,,Thu Oct 29 19:38:27 PDT 2020,SocialDistance.lisp,1604025507085,8449,8449,(R)2(I)1(F)2(I)18,0.8260869565217391,0.0,0.0,8.695652173913043,0.0,0.0,2.875,0.0,0.0,0.25,0.0,0.25,2.375,0.0,[]
16,,Thu Oct 29 19:38:35 PDT 2020,SocialDistance.lisp,1604025515662,105,105,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
17,,Thu Oct 29 19:38:35 PDT 2020,SocialDistance.lisp,1604025515931,1968,1968,(I)19(R)4(I)2,0.84,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,4.0,21.0,0.0,[]
18,,Thu Oct 29 19:38:38 PDT 2020,SocialDistance.lisp,1604025518146,2748,2748,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
19,,Thu Oct 29 19:38:40 PDT 2020,SocialDistance.lisp,1604025520897,19992,0,(I)7(R)3(I)2(R)7(I)5,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,1.263157894736842,0.0,0.0,0.0,0.0,0.5263157894736842,0.7368421052631579,0.0,[]
20,,Thu Oct 29 19:39:01 PDT 2020,SocialDistance.lisp,1604025541032,4,4,(I)6(R)3(I)2(R)7(I)6,0.5833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
21,,Thu Oct 29 19:39:02 PDT 2020,SocialDistance.lisp,1604025542171,5294,5294,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
22,,Thu Oct 29 19:39:07 PDT 2020,SocialDistance.lisp,1604025547559,537,537,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
23,,Thu Oct 29 19:39:08 PDT 2020,SocialDistance.lisp,1604025548246,5170,5170,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
24,,Thu Oct 29 19:39:14 PDT 2020,SocialDistance.lisp,1604025554091,3,3,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
25,,Thu Oct 29 19:39:15 PDT 2020,SocialDistance.lisp,1604025555873,9878,9878,(I)6(R)4(I)10(R)3,0.6956521739130435,0.0,0.0,0.0,0.0,0.0,2.5555555555555554,0.0,0.0,0.0,0.0,0.7777777777777778,1.7777777777777777,0.0,[]
26,,Thu Oct 29 19:39:25 PDT 2020,SocialDistance.lisp,1604025565753,34240,0,(R)3(I)3(F)2(I)4(R)1(I)11,0.75,0.0,0.0,8.333333333333332,0.0,0.0,0.7058823529411765,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.5294117647058824,0.0,[]
27,,Thu Oct 29 19:40:00 PDT 2020,SocialDistance.lisp,1604025600061,2,2,(I)1(R)3(I)8(R)1(I)12,0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
28,,Thu Oct 29 19:40:00 PDT 2020,SocialDistance.lisp,1604025600290,1871,1871,(R)3(I)22,0.88,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.0,22.0,0.0,[]
29,,Thu Oct 29 19:40:02 PDT 2020,SocialDistance.lisp,1604025602163,4680,4680,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
30,,Thu Oct 29 19:40:07 PDT 2020,SocialDistance.lisp,1604025607540,1748,1748,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
31,,Thu Oct 29 19:40:09 PDT 2020,SocialDistance.lisp,1604025609289,2811,2811,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
32,,Thu Oct 29 19:40:12 PDT 2020,SocialDistance.lisp,1604025612130,10964,0,(I)3(F)1(I)1(F)1(I)14(R)3,0.782608695652174,0.0,0.0,8.695652173913043,0.0,0.0,2.3,0.0,0.0,0.2,0.0,0.3,1.8,0.0,[]
33,,Thu Oct 29 19:40:23 PDT 2020,SocialDistance.lisp,1604025623096,2618,2618,(R)5(I)6(R)2(I)12,0.72,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,3.5,9.0,0.0,[]
34,,Thu Oct 29 19:40:25 PDT 2020,SocialDistance.lisp,1604025625866,1578,1578,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
35,,Thu Oct 29 19:40:27 PDT 2020,SocialDistance.lisp,1604025627446,4699,4699,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
36,,Thu Oct 29 19:40:32 PDT 2020,SocialDistance.lisp,1604025632298,5737,5737,(I)12(R)4(I)4(R)4(I)1,0.68,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.6,3.4,0.0,[]
37,,Thu Oct 29 19:40:38 PDT 2020,SocialDistance.lisp,1604025638037,23526,0,(I)1(R)2(I)14(R)1(I)6,0.875,0.0,0.0,0.0,0.0,0.0,1.0434782608695652,0.0,0.0,0.0,0.0,0.13043478260869565,0.9130434782608695,0.0,[]
38,,Thu Oct 29 19:41:01 PDT 2020,SocialDistance.lisp,1604025661750,577,577,(I)14(R)1(I)10,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
39,,Thu Oct 29 19:41:02 PDT 2020,SocialDistance.lisp,1604025662415,5256,5256,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,[]
40,,Thu Oct 29 19:41:07 PDT 2020,SocialDistance.lisp,1604025667840,204,204,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
41,,Thu Oct 29 19:41:08 PDT 2020,SocialDistance.lisp,1604025668172,970,970,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
42,,Thu Oct 29 19:41:09 PDT 2020,SocialDistance.lisp,1604025669304,4670,4670,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,6.25,0.0,[]
43,,Thu Oct 29 19:41:14 PDT 2020,SocialDistance.lisp,1604025674014,9403,9403,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,0.0,[]
44,,Thu Oct 29 19:41:23 PDT 2020,SocialDistance.lisp,1604025683769,3571,3571,(I)6(R)2(I)17,0.92,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.6666666666666666,7.666666666666667,0.0,[]
45,,Thu Oct 29 19:41:27 PDT 2020,SocialDistance.lisp,1604025687343,1443,1443,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
46,,Thu Oct 29 19:41:28 PDT 2020,SocialDistance.lisp,1604025688924,3399,3399,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,[]
47,,Thu Oct 29 19:41:32 PDT 2020,SocialDistance.lisp,1604025692326,11482,0,(I)11(R)4(I)8,0.8260869565217391,0.0,0.0,0.0,0.0,0.0,2.090909090909091,0.0,0.0,0.0,0.0,0.36363636363636365,1.7272727272727273,0.0,[]
48,,Thu Oct 29 19:41:44 PDT 2020,SocialDistance.lisp,1604025704421,6151,6151,(R)4(I)21,0.84,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.6666666666666666,3.5,0.0,[]
49,,Thu Oct 29 19:41:50 PDT 2020,SocialDistance.lisp,1604025710576,6597,6597,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,0.0,0.0,0.0,0.0,4.166666666666667,0.0,[]
50,,Thu Oct 29 19:41:57 PDT 2020,SocialDistance.lisp,1604025717331,4287,4287,(I)1(R)1(I)11(R)1(I)10,0.9166666666666666,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.5,5.5,0.0,[]
51,,Thu Oct 29 19:42:01 PDT 2020,SocialDistance.lisp,1604025721708,2271,2271,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
52,,Thu Oct 29 19:42:04 PDT 2020,SocialDistance.lisp,1604025724091,8579,8579,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,3.125,0.0,[]
53,,Thu Oct 29 19:42:12 PDT 2020,SocialDistance.lisp,1604025732777,1676,1676,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
54,,Thu Oct 29 19:42:14 PDT 2020,SocialDistance.lisp,1604025734619,725,725,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
55,,Thu Oct 29 19:42:15 PDT 2020,SocialDistance.lisp,1604025735424,36679,0,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.6944444444444444,0.0,[]
56,,Thu Oct 29 19:42:52 PDT 2020,SocialDistance.lisp,1604025772183,3,3,(I)23,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,null,0.0,0.0,[]
57,,Thu Oct 29 19:42:53 PDT 2020,SocialDistance.lisp,1604025773633,13240,0,(I)4(R)21,0.16,0.0,0.0,0.0,0.0,0.0,1.9230769230769231,0.0,0.0,0.0,0.0,1.6153846153846154,0.3076923076923077,0.0,[]
58,,Thu Oct 29 19:43:06 PDT 2020,SocialDistance.lisp,1604025786875,10963,0,(R)5(I)6(R)2(I)12,0.72,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.7,1.8,0.0,[]
59,,Thu Oct 29 19:43:17 PDT 2020,SocialDistance.lisp,1604025797979,1860,1860,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
60,,Thu Oct 29 19:43:19 PDT 2020,SocialDistance.lisp,1604025799841,1770,1770,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
61,,Thu Oct 29 19:43:21 PDT 2020,SocialDistance.lisp,1604025801720,2295,2295,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
62,,Thu Oct 29 19:43:24 PDT 2020,SocialDistance.lisp,1604025804018,1068,1068,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,[]
63,,Thu Oct 29 19:43:25 PDT 2020,SocialDistance.lisp,1604025805277,2078,2078,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,12.5,0.0,[]
64,,Thu Oct 29 19:43:27 PDT 2020,SocialDistance.lisp,1604025807358,7603,7603,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,0.0,0.0,0.0,0.0,3.5714285714285716,0.0,[]
65,,Thu Oct 29 19:43:35 PDT 2020,SocialDistance.lisp,1604025815112,3391,3391,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,[]
66,,Thu Oct 29 19:43:38 PDT 2020,SocialDistance.lisp,1604025818650,2072,2072,(I)7(R)2(I)12(R)2(I)2,0.84,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,2.0,10.5,0.0,[]
67,,Thu Oct 29 19:43:40 PDT 2020,SocialDistance.lisp,1604025820884,3852,3852,(I)25,1.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.0,0.0,0.0,0.0,8.333333333333334,0.0,[]
